Year,Bowl Game Name,Lead Time (Days),Team 1,Team 1 Conference,Team 1 AP Ranking,Team 1 Wins,Team 1 Prior Season Wins,Team 1 Win Difference from Year Prior,Team 1 247 Talent Composite Score,Team 1 Total FB Social Followers,Team 1 Enrollment,Team 1 Total Alumni,Team 1 Alumni Dispersion,Team 1 Brand Power,Team 1 Lat,Team 1 Lon,Team 1 Closest Large Airport Name,Team 1 Miles to Closest Large Airport,Team 1 Driving Time to Closest Large Airport (Minutes),Team 1 Nearest Large Airport Remote Flag,Team 1 Time Zone,Team 2,Team 2 Conference,Team 2 AP Ranking,Team 2 Wins,Team 2 Prior Season Wins,Team 2 Win Difference from Year Prior,Team 2 247 Talent Composite Score,Team 2 Total FB Social Followers,Team 2 Enrollment,Team 2 Total Alumni,Team 2 Alumni Dispersion,Team 2 Brand Power,Team 2 Lat,Team 2 Lon,Team 2 Closest Large Airport Name,Team 2 Miles to Closest Large Airport,Team 2 Driving Time to Closest Large Airport (Minutes),Team 2 Nearest Large Airport Remote Flag,Team 2 Time Zone,Venue,City,State,Venue Tier,Venue Capacity,Venue Lat,Venue Lon,Venue Time Zone,Team 1 Miles to Venue,Team 1 Driving Time (hrs),Team 1 Driving Time (min),Team 1 Drivable?,Team 2 Miles to Venue,Team 2 Driving Time (hrs),Team 2 Driving Time (min),Team 2 Drivable?,Date,Day of the Week,Local Start Time,Network,Viewers,Attendance,Bowl Avg Viewers,Bowl Avg Attendees,% Filled,Avg Wins,Total Wins,Avg AP Ranking,Best AP Ranking,Worst AP Ranking,SEC Present,Big 10 Present,Big 12 Present,ACC Present,Combined Fanbase Size (social + enrollment + alum),Avg Distace Traveled,Avg Driving Min,Avg Driving Hours,Distance Minimum,Distance Imbalance,"Weekend Indicator (Weekend=1, Else 0)","Matchup Power Score (2=P4vP4, 1=P4vG5, 0=G5vG5)",Bowl Tier,Bowl Ownership,Local Team Indicator,AP Strength Score,Combined Fanbase (Log transformed),MinMax Scale Distance,AP Strength Normalized,Raw Gradient Boosted Attendance,Gradient Boosting Predicted Attendance,Final Attendance Prediction,Bowl Avg Attendance,Gradient Boosting Predicted % Filled,Bowl Avg % Filled,Attendance Difference from Avg,% Attendance Difference from Avg,Actual Attendance,Actual % Filled,% Error,Difference from Predicted,Bowl Type,Temp at Kickoff Time,Weather at Kickoff,Rain (mm),Snowfall (mm)
2025,Hawaii Bowl,17,California Golden Bears,Atlantic Coast Conference,0,7,6,1,726.21,202700,45699,492402,Regional,119480.484,37.871918,-122.260463,San Francisco Bay Oakland International Airport,10.70979,27.8,Accessible,PST,Hawai'i Rainbow Warriors,Mountain West Conference,0,8,5,3,481.2,141800,19256,102677,Regional,56851.38,21.298598,-157.818979,Daniel K. Inouye International Airport,7.016668,40.1,Accessible,HST,Clarence T.C. Ching Athletics Complex,Honolulu,HI,1,15194,21.3003,-157.815,HST,2403.22857,48.0646,2883.8743,Flight Required,0.2818659331,0.00564,0.33824,Easy Drive,2025-12-24,Wednesday,8:00 PM,ESPN,2700000,15194,1333333,6805,,7.5,15,0,0,0,0,0,0,0,1004534,1201.7552,1442.1063,24.0351,0.2818659331,2402.946704,0,1,3,2,1,26,6.001965073,0.3195123647,1,9410.342034,8628.739424,9410.342034,6805,61.93%,44.79%,2605.342034,38.29%,15194,1.00,-38.07%,"-5,783.66",Island,73.8,Mainly clear,0,0
2022,Holiday Bowl,24,Oregon Ducks,Big Ten Conference,15,10,10,0,877.93,842000,23786,155079,Regional,273216.272,44.05,-123.08,Eugene Airport,8.706742,22.4,Accessible,PST,North Carolina Tar Heels,Atlantic Coast Conference,0,9,6,3,812.94,569400,32234,220432,Regional,199635.176,35.91,-79.05,Raleigh-Durham International Airport,14.93845,27.4,Accessible,EST,Snapdragon Stadium,San Diego,CA,1,35000,32.78,-117.07,PST,843,16.8651,1011.9079,Flight Required,2166,43.32606,2599.56355,Flight Required,2022-12-28,Wednesday,8:00 PM,FOX,"3,970,000","36,242",3470000,31826,1.04,9.5,19,7.5,0,15,0,0,0,1,1842931,1504.7798,1805.7357,30.0956,843,1323.05,0,2,2,1,0,18.5,6.265509311,0.4054075235,0.6666666667,"36,187.31","34,878.92","34,878.92",31826,99.65%,90.93%,"3,052.92",9.59%,"36,242",1.04,-3.76%,"-1,363.08",Medium,53.3,Overcast,12.4,0
2023,Holiday Bowl,25,USC Trojans,Big Ten Conference,0,8,11,-3,896.41,427400,47147,376732,Regional,175681.164,34.02,-118.28,Los Angeles International Airport,8.938125,22,Accessible,PST,Louisville Cardinals,Atlantic Coast Conference,16,10,8,2,744.16,402100,22139,119709,Regional,137326.364,38.22,-85.76,Louisville Muhammad Ali International Airport,3.479404,11.3,Accessible,EST,Snapdragon Stadium,San Diego,CA,1,35000,32.78,-117.07,PST,111,2.2189,133.1312,Flight Required,1792,35.84202,2150.52149,Flight Required,2023-12-28,Thursday,8:00 PM,FOX,"3,510,000","35,317",3470000,31826,1.01,9,18,8,0,16,0,0,0,1,1395227,951.5219,1141.8263,19.0304,111,1681.16,0,2,2,1,0,18,6.144645183,0.2485813934,0.6444444444,"35,056.37","34,087.26","34,087.26",31826,97.39%,90.93%,"2,261.26",7.11%,"35,317",1.01,-3.48%,"-1,229.74",Medium,51.8,Overcast,0,0
2024,Holiday Bowl,19,Syracuse Orange,Atlantic Coast Conference,22,10,6,4,698.59,260000,22948,160500,National,98919.036,43.04,-76.13,Syracuse Hancock International Airport,5.313934,17.4,Accessible,EST,Washington State Cougars,Pac-12 Conference,0,8,5,3,610.54,237200,26490,161917,Mostly In-State,92893.916,46.73,-117.16,Spokane International Airport,63.97179,108.7,Moderate Remote,PST,Snapdragon Stadium,San Diego,CA,1,35000,32.78,-117.07,PST,2316,46.3217,2779.3045,Flight Required,964,19.28563,1157.13765,Flight Required,2024-12-27,Friday,8:00 PM,FOX,"2,930,000","23,920",3470000,31826,0.68,9,18,11,0,22,0,0,0,0,869055,1640.1842,1968.2211,32.8037,964,1351.81,0,1,2,1,0,15,5.939047762,0.4437891889,0.5111111111,"24,299.10","26,557.17","26,557.17",31826,75.88%,90.93%,"-5,268.83",-16.56%,"23,920",0.68,11.02%,"2,637.17",Medium,57.7,Overcast,0,0
2025,Holiday Bowl,26,Arizona Wildcats,Big 12 Conference,21,9,4,5,651.62,292600,53001,253727,Regional,124013.548,32.232672,-110.950815,Tucson International Airport,8.188395,21.2,Accessible,MST,SMU Mustangs,Atlantic Coast Conference,0,8,11,-3,766.67,200600,11842,102694,Regional,73124.468,32.843612,-96.783365,Dallas Love Field,3.756131,15.2,Accessible,CST,Snapdragon Stadium,San Diego,CA,1,35000,32.77525,-117.071228,PST,358.5727558,7.1715,430.2873,Flight Required,1176.403739,23.52807,1411.68449,Flight Required,2026-01-02,Friday,8:00 PM,FOX,2338000,30602,3470000,31826,,8.5,17,10.5,0,21,0,0,0,1,914464,767.4882,920.9859,15.3498,358.5727558,817.8309828,0,2,2,1,0,15.5,5.961167088,0.1964153136,0.5333333333,32382.12434,32215.28704,32215.28704,31826,92.04%,90.93%,389.28704,1.22%,30602,0.87,5.27%,"1,613.29",Medium,59.5,Overcast,1.8,0
2022,Independence Bowl,19,Houston Cougars,Big 12 Conference,0,8,12,-4,629.12,240700,46676,253065,Highly Local,107103.348,29.72,-95.34,William P. Hobby Airport,6.548432,18.3,Accessible,CST,Louisiana Ragin' Cajuns,Sun Belt Conference,0,6,13,-7,458.15,111900,15345,80684,Mostly In-State,44890.66,30.21,-92.02,Alexandria International Airport,83.06783,107.6,Moderate Remote,CST,Independence Stadium,Shreveport,LA,1,50000,32.51,-93.74,CST,215,4.2989,257.9347,Flight Required,189,3.77479,226.48716,Flight Required,2022-12-23,Friday,3:00 PM,ESPN,"2,410,000","23,410",1523333,30255,0.47,7,14,0,0,0,0,0,0,0,748370,201.8425,242.2110,4.0368,189,26.21,0,1,2,1,0,26,5.87411695,0.03607770335,1,"23,760.79","25,709.05","25,709.05",30255,51.42%,60.51%,"-4,545.95",-15.03%,"23,410",0.47,9.82%,"2,299.05",Large,24.5,Overcast,0,0
2023,Independence Bowl,13,Texas Tech Red Raiders,Big 12 Conference,0,7,8,-1,694.26,416200,40773,205454,Highly Local,153837.704,33.58,-101.87,Lubbock Preston Smith International Airport,6.321676,29,Accessible,CST,California Golden Bears,Atlantic Coast Conference,0,6,4,2,681.14,202700,45699,492402,Regional,119462.456,37.87,-122.26,San Francisco Bay Oakland International Airport,10.70979,27.8,Accessible,PST,Independence Stadium,Shreveport,LA,1,50000,32.51,-93.74,CST,477,9.5316,571.8959,Flight Required,1645,32.90808,1974.48459,Flight Required,2023-12-16,Saturday,9:15 PM,ESPN,"1,020,000","33,071",1523333,30255,0.66,6.5,13,0,0,0,0,0,0,1,1403228,1060.9919,1273.1903,21.2198,477,1168.82,1,2,2,1,0,26,6.147128552,0.2796116775,1,"32,851.33","32,072.43","32,072.43",30255,64.14%,60.51%,"1,817.43",6.01%,"33,071",0.66,-3.02%,-998.57,Large,46.5,Clear sky,7.3,0
2024,Independence Bowl,20,Army Black Knights,American Conference,19,12,6,6,0,282000,4508,49781,Very National (Top 10%),90479.7,41.39,-73.96,New York Stewart International Airport,10.76224,31.6,Accessible,EST,Louisiana Tech Bulldogs,Conference USA,0,5,3,2,533.72,110900,11427,58686,Regional,41637.488,32.53,-92.65,Alexandria International Airport,83.28261,131.1,High Remote,CST,Independence Stadium,Shreveport,LA,1,50000,32.51,-93.74,CST,1249,24.9731,1498.3856,Flight Required,64,1.27452,76.47149,Drivable,2024-12-28,Saturday,9:15 PM,ESPN,"1,140,000","34,283",1523333,30255,0.69,8.5,17,9.5,0,19,0,0,0,0,517302,656.1905,787.4286,13.1238,64,1184.93,1,0,2,1,1,16.5,5.713744997,0.1648669138,0.5777777778,"34,102.06","32,947.94","32,947.94",30255,65.90%,60.51%,"2,692.94",8.90%,"34,283",0.69,-3.89%,"-1,335.06",Large,53.3,Mainly clear,54,0
2025,Independence Bowl,23,Coastal Carolina Chanticleers,Sun Belt Conference,0,6,6,0,610.88,196600,10829,48892,Regional,66279.352,33.794995,-79.011767,Myrtle Beach International Airport,9.305537,21.5,Accessible,EST,Louisiana Tech Bulldogs,Conference USA,0,7,5,2,493.5,110900,11427,58686,Regional,41621.4,32.528297,-92.649963,Alexandria International Airport,83.28261,131.1,High Remote,CST,Independence Stadium,Shreveport,LA,1,50000,32.5135,-93.7436,CST,856.0618246,17.1212,1027.2742,Flight Required,63.72623999,1.27452,76.47149,Drivable,2025-12-30,Tuesday,2:00 PM,ESPN,1800000,30298,1523333,30255,,6.5,13,0,0,0,0,0,0,0,437334,459.8940,551.8728,9.1979,63.72623999,792.3355846,0,0,2,1,1,26,5.640814235,0.1092248448,1,29421.64726,29671.65308,29671.65308,30255,59.34%,60.51%,-583.34692,-1.93%,30298,0.61,-2.07%,-626.35,Large,46,Clear sky,0,0
2022,LA Bowl,13,Fresno State Bulldogs,Mountain West Conference,0,10,10,0,502.26,198300,23986,110359,Highly Local,75524.004,36.81,-119.74,Fresno Yosemite International Airport,2.856031,9.4,Accessible,PST,Washington State Cougars,Pac-12 Conference,0,7,7,0,570.94,237200,26490,161917,Mostly In-State,92878.076,46.73,-117.16,Spokane International Airport,63.97179,108.7,Moderate Remote,PST,SoFI Stadium,Inglewood,CA,1,70240,33.95,-118.34,PST,213,4.2543,255.2588,Flight Required,885,17.70023,1062.01371,Flight Required,2022-12-17,Saturday,3:30 PM,ABC,"2,400,000","32,405",2086667,29868,0.46,8.5,17,0,0,0,0,0,0,0,758252,548.8635,658.6363,10.9773,213,672.30,1,0,2,2,0,26,5.879814137,0.1344440887,1,"32,330.32","31,591.63","31,591.63",29868,44.98%,42.52%,"1,723.63",5.77%,"32,405",0.46,-2.51%,-813.37,Large,63.9,Overcast,0,0
