Year,Bowl Game Name,Lead Time (Days),Team 1,Team 1 Conference,Team 1 AP Ranking,Team 1 Wins,Team 1 Prior Season Wins,Team 1 Win Difference from Year Prior,Team 1 247 Talent Composite Score,Team 1 Total FB Social Followers,Team 1 Enrollment,Team 1 Total Alumni,Team 1 Alumni Dispersion,Team 1 Brand Power,Team 1 Lat,Team 1 Lon,Team 1 Closest Large Airport Name,Team 1 Miles to Closest Large Airport,Team 1 Driving Time to Closest Large Airport (Minutes),Team 1 Nearest Large Airport Remote Flag,Team 1 Time Zone,Team 2,Team 2 Conference,Team 2 AP Ranking,Team 2 Wins,Team 2 Prior Season Wins,Team 2 Win Difference from Year Prior,Team 2 247 Talent Composite Score,Team 2 Total FB Social Followers,Team 2 Enrollment,Team 2 Total Alumni,Team 2 Alumni Dispersion,Team 2 Brand Power,Team 2 Lat,Team 2 Lon,Team 2 Closest Large Airport Name,Team 2 Miles to Closest Large Airport,Team 2 Driving Time to Closest Large Airport (Minutes),Team 2 Nearest Large Airport Remote Flag,Team 2 Time Zone,Venue,City,State,Venue Tier,Venue Capacity,Venue Lat,Venue Lon,Venue Time Zone,Team 1 Miles to Venue,Team 1 Driving Time (hrs),Team 1 Driving Time (min),Team 1 Drivable?,Team 2 Miles to Venue,Team 2 Driving Time (hrs),Team 2 Driving Time (min),Team 2 Drivable?,Date,Day of the Week,Local Start Time,Network,Viewers,Attendance,Bowl Avg Viewers,Bowl Avg Attendees,% Filled,Avg Wins,Total Wins,Avg AP Ranking,Best AP Ranking,Worst AP Ranking,SEC Present,Big 10 Present,Big 12 Present,ACC Present,Combined Fanbase Size (social + enrollment + alum),Avg Distace Traveled,Avg Driving Min,Avg Driving Hours,Distance Minimum,Distance Imbalance,"Weekend Indicator (Weekend=1, Else 0)","Matchup Power Score (2=P4vP4, 1=P4vG5, 0=G5vG5)",Bowl Tier,Bowl Ownership,Local Team Indicator,AP Strength Score,Combined Fanbase (Log transformed),MinMax Scale Distance,AP Strength Normalized,Raw Gradient Boosted Attendance,Gradient Boosting Predicted Attendance,Final Attendance Prediction,Bowl Avg Attendance,Gradient Boosting Predicted % Filled,Bowl Avg % Filled,Attendance Difference from Avg,% Attendance Difference from Avg,Actual Attendance,Actual % Filled,% Error,Difference from Predicted,Bowl Type,Temp at Kickoff Time,Weather at Kickoff,Rain (mm),Snowfall (mm)
2023,LA Bowl,13,UCLA Bruins,Big Ten Conference,0,8,9,-1,752.6,383800,46678,595184,Regional,184295.04,34.07,-118.44,Los Angeles International Airport,9.157064,21.5,Accessible,PST,Boise State Broncos,Mountain West Conference,0,8,10,-2,579.88,322200,26670,111237,Regional,113349.652,43.60,-116.20,Boise Air Terminal/Gowen Field,2.913449,17.2,Accessible,MST,SoFI Stadium,Inglewood,CA,1,70240,33.95,-118.34,PST,10,0.2012,12.0716,Easy Drive,677,13.53256,811.95339,Flight Required,2023-12-16,Saturday,7:30 PM,ABC,"2,380,000","32,780",2086667,29868,0.47,8,16,0,0,0,0,0,0,0,1485769,343.3437,412.0125,6.8669,10,666.57,1,1,2,2,1,26,6.171951585,0.07618756829,1,"32,817.59","31,932.71","31,932.71",29868,45.46%,42.52%,"2,064.71",6.91%,"32,780",0.47,-2.58%,-847.29,Large,63,Partly cloudy,0,0
2024,LA Bowl,10,California Golden Bears,Atlantic Coast Conference,0,6,6,0,702.38,202700,45699,492402,Regional,119470.952,37.87,-122.26,San Francisco Bay Oakland International Airport,10.70979,27.8,Accessible,PST,UNLV Rebels,Mountain West Conference,24,11,9,2,575.16,167200,21778,145643,Mostly In-State,69309.964,36.11,-115.14,Harry Reid International Airport,1.748685,41.9,Accessible,PST,SoFI Stadium,Inglewood,CA,1,70240,33.95,-118.34,PST,348,6.9684,418.1013,Flight Required,234,4.68676,281.20566,Flight Required,2024-12-18,Wednesday,9:00 PM,ESPN,"1,480,000","24,420",2086667,29868,0.35,8.5,17,12,0,24,0,0,0,0,1075422,291.3779,349.6535,5.8276,234,114.08,0,1,2,2,0,14,6.03157932,0.06145736738,0.4666666667,"24,725.99","26,268.59","26,268.59",29868,37.40%,42.52%,"-3,599.41",-12.05%,"24,420",0.35,7.57%,"1,848.59",Large,63.6,Clear sky,0,0
2025,LA Bowl,6,Boise State Broncos,Mountain West Conference,0,9,12,-3,610.65,322200,26670,111237,Regional,113361.96,43.604284,-116.203301,Boise Air Terminal/Gowen Field,2.913449,17.2,Accessible,MST,Washington Huskies,Big Ten Conference,0,8,6,2,720.56,471300,55620,389616,Regional,191763.824,47.65538,-122.30514,King County International Airport - Boeing Field,8.844263,21,Accessible,PST,SoFi Stadium,Inglewood,CA,1,70240,33.953587,-118.33963,PST,676.6278222,13.5326,811.9534,Flight Required,968.8658303,19.37732,1162.63900,Flight Required,2025-12-13,Saturday,8:00 PM,ABC,3786000,23269,2086667,29868,,8.5,17,0,0,0,0,1,0,0,1376643,822.7468,987.2962,16.4549,676.6278222,292.2380082,1,1,2,2,0,26,6.138821646,0.2120788768,1,26180.65245,27286.85671,27286.85671,29868,38.85%,42.52%,-2581.14329,-8.64%,23269,0.33,17.27%,"4,017.86",Large,55.3,Overcast,0,0
2022,Las Vegas Bowl,13,Oregon State Beavers,Pac-12 Conference,17,10,7,3,635.88,257900,35622,176468,Regional,102395.552,44.56,-123.27,Eugene Airport,30.51883,58.3,Accessible,PST,Florida Gators,Southeastern Conference,0,6,6,0,856.95,987400,54814,370873,Regional,344612.88,29.65,-82.35,Jacksonville International Airport,70.56127,114.3,Moderate Remote,EST,Allegiant Stadium,Las Vegas,NV,3,65000,36.11,-115.14,PST,724,14.4778,868.6659,Flight Required,1945,38.89362,2333.61716,Flight Required,2022-12-17,Saturday,2:30 PM,ESPN,"2,430,000","29,750",2756667,25773,0.46,8,16,8.5,0,17,1,0,0,0,1883077,1334.2846,1601.1415,26.6857,724,1220.79,1,1,2,2,0,17.5,6.27486831,0.3570790686,0.6222222222,"29,708.38","28,527.77","28,527.77",25773,43.89%,39.65%,"2,754.77",10.69%,"29,750",0.46,-4.11%,"-1,222.23",Large,46.1,Mainly clear,0,0
2023,Las Vegas Bowl,20,Northwestern Wildcats,Big Ten Conference,0,8,1,7,657.88,128600,23203,185531,National,62036.852,42.05,-87.68,Chicago O'Hare International Airport,12.55032,53.8,Accessible,CST,Utah Utes,Big 12 Conference,0,8,10,-2,722.55,428900,35260,179042,Mostly In-State,153915.22,40.76,-111.85,Salt Lake City International Airport,7.252705,21.8,Accessible,MST,Allegiant Stadium,Las Vegas,NV,3,65000,36.11,-115.14,PST,1522,30.4339,1826.0349,Flight Required,368,7.35459,441.27541,Flight Required,2023-12-23,Saturday,7:30 PM,ABC,"3,090,000","20,897",2756667,25773,0.32,8,16,0,0,0,0,0,1,0,980536,944.7126,1133.6552,18.8943,368,1153.97,1,2,2,2,0,26,5.991463986,0.246651233,1,"20,788.74","22,284.02","22,284.02",25773,34.28%,39.65%,"-3,488.98",-13.54%,"20,897",0.32,6.64%,"1,387.02",Large,53,Clear sky,0,0
2024,Las Vegas Bowl,19,USC Trojans,Big Ten Conference,0,7,8,-1,863.09,427400,47147,376732,Regional,175667.836,34.02,-118.28,Los Angeles International Airport,8.938125,22,Accessible,PST,Texas A&M Aggies,Southeastern Conference,0,8,7,1,914.52,722400,76633,667867,Regional,299199.108,30.62,-96.34,George Bush Intercontinental Airport,73.77464,110.5,Moderate Remote,CST,Allegiant Stadium,Las Vegas,NV,3,65000,36.11,-115.14,PST,229,4.5779,274.6736,Flight Required,1147,22.94229,1376.53726,Flight Required,2024-12-27,Friday,10:30 PM,ESPN,"2,750,000","26,671",2756667,25773,0.41,7.5,15,0,0,0,1,0,0,0,2318179,688.0045,825.6054,13.7601,229,918.22,0,2,2,2,0,26,6.365147155,0.1738849075,1,"26,886.74","26,552.62","26,552.62",25773,40.85%,39.65%,779.62,3.02%,"26,671",0.41,-0.44%,-118.38,Large,46.5,Clear sky,0,0
2025,Las Vegas Bowl,24,Nebraska Cornhuskers,Big Ten Conference,0,7,7,0,821.39,679600,15015,155398,Regional,222751.356,40.817598,-96.700508,Lincoln Airport,3.68136,11.1,Accessible,CST,Utah Utes,Big 12 Conference,15,10,5,5,707.86,428900,35260,179042,Mostly In-State,153909.344,40.762484,-111.846044,Salt Lake City International Airport,7.252705,21.8,Accessible,MST,Allegiant Stadium,Las Vegas,NV,3,65000,36.106047,-115.138462,PST,1046.995905,20.9399,1256.3951,Flight Required,367.7295047,7.35459,441.27541,Flight Required,2025-12-31,Wednesday,3:30 PM,ESPN,3000000,38879,2756667,25773,,8.5,17,7.5,0,15,0,0,1,0,1493215,707.3627,848.8352,14.1473,367.7295047,679.2664,0,2,2,2,0,18.5,6.174122635,0.179372164,0.6666666667,24325.28778,24759.60144,24759.60144,25773,38.09%,39.65%,-1013.39856,-3.93%,38879,0.60,-36.32%,"-14,119.40",Large,52.1,Overcast,6.7,0
2022,Liberty Bowl,24,Arkansas Razorbacks,Southeastern Conference,0,7,9,-2,741.06,753400,32140,154540,Regional,248198.424,36.07,-94.18,Springfield Branson National Airport,92.20076,172.4,High Remote,CST,Kansas Jayhawks,Big 12 Conference,0,6,2,4,574.29,292400,28406,171566,Regional,110787.516,38.96,-95.25,Kansas City International Airport,36.9704,62.8,Accessible,CST,Simmons Bank Liberty Stadium,Memphis,TN,1,50000,35.12,-89.94,CST,247,4.9410,296.4592,Flight Required,395,7.90042,474.02546,Flight Required,2022-12-28,Wednesday,5:30 PM,ESPN,"3,910,000","52,847",3906667,46467,1.06,6.5,13,0,0,0,0,0,1,0,1432452,321.0353,385.2423,6.4207,247,147.97,0,2,1,1,0,26,6.156080381,0.06986402459,1,"52,427.10","50,000.00","50,000.00",46467,100.00%,92.93%,"3,533.00",7.60%,"52,847",1.06,-5.39%,"-2,847.00",Large,50.5,Clear sky,0,0
2023,Liberty Bowl,26,Memphis Tigers,American Conference,0,10,7,3,626.86,202000,21736,114618,Mostly In-State,76659.744,35.12,-89.94,Memphis International Airport,5.625859,18.1,Accessible,CST,Iowa State Cyclones,Big 12 Conference,0,7,4,3,638.87,300500,30177,182047,Regional,114645.648,42.03,-93.65,Des Moines International Airport,33.9942,58.6,Accessible,CST,Simmons Bank Liberty Stadium,Memphis,TN,1,50000,35.12,-89.94,CST,0,0.0000,0.0000,Easy Drive,518,10.35040,621.02430,Flight Required,2023-12-29,Friday,3:30 PM,ESPN,"3,600,000","48,789",3906667,46467,0.98,8.5,17,0,0,0,0,0,1,0,851078,258.7601,310.5121,5.1752,0,517.52,0,1,1,1,1,26,5.929969875,0.05221154983,1,"48,540.04","47,918.13","47,918.13",46467,95.84%,92.93%,"1,451.13",3.12%,"48,789",0.98,-1.78%,-870.87,Large,40.5,Overcast,0.2,0
2024,Liberty Bowl,19,Arkansas Razorbacks,Southeastern Conference,0,7,4,3,779.17,753400,32140,154540,Regional,248213.668,36.07,-94.18,Springfield Branson National Airport,92.20076,172.4,High Remote,CST,Texas Tech Red Raiders,Big 12 Conference,0,8,7,1,732.07,416200,40773,205454,Highly Local,153852.828,33.58,-101.87,Lubbock Preston Smith International Airport,6.321676,29,Accessible,CST,Simmons Bank Liberty Stadium,Memphis,TN,1,50000,35.12,-89.94,CST,247,4.9410,296.4592,Flight Required,689,13.77455,826.47307,Flight Required,2024-12-27,Friday,7:00 PM,ESPN,"4,210,000","37,764",3906667,46467,0.76,7.5,15,0,0,0,0,0,1,0,1602507,467.8884,561.4661,9.3578,247,441.68,0,2,1,1,0,26,6.204800206,0.1114909357,1,"38,297.65","40,748.46","40,748.46",46467,81.50%,92.93%,"-5,718.54",-12.31%,"37,764",0.76,7.90%,"2,984.46",Large,55.7,Clear sky,19.6,0
2025,Liberty Bowl,26,Navy Midshipmen,American Conference,22,9,10,-1,,235600,4465,48194,Very National (Top 10%),76392.4,38.980507,-76.481692,Baltimore/Washington International Thurgood Marshall Airport,16.74099,38.9,Accessible,EST,Cincinnati Bearcats,Big 12 Conference,0,7,5,2,644.1,269400,43338,208115,Mostly In-State,110556.74,39.131159,-84.51428,Cincinnati Northern Kentucky International Airport,10.0142,29,Accessible,EST,Simmons Bank Liberty Stadium,Memphis,TN,1,50000,35.118878,-89.938068,CST,787.6585192,15.7532,945.1902,Flight Required,407.4637041,8.14927,488.95644,Flight Required,2026-01-02,Friday,4:30 PM,ESPN,3400000,21908,3906667,46467,,8,16,11,0,22,0,0,1,0,809112,597.5611,717.0733,11.9512,407.4637041,380.1948152,0,1,1,1,0,15,5.908009179,0.1482478713,0.5111111111,43828.0104,44619.70728,44619.70728,46467,89.24%,92.93%,-1847.29272,-3.98%,21908,0.44,103.67%,"22,711.71",Large,51,Dense drizzle,8.4,0
2022,Military Bowl,24,Duke Blue Devils,Atlantic Coast Conference,0,9,3,6,603.98,318300,17112,145247,Very National (Top 10%),113678.692,36.00,-78.94,Raleigh-Durham International Airport,11.93816,25.8,Accessible,EST,UCF Knights,Big 12 Conference,0,9,9,0,636.16,453000,69233,311734,Mostly In-State,181174.464,28.60,-81.20,Orlando Sanford International Airport,12.07638,25.8,Accessible,EST,Navy-Marine Corps Memorial Stadium,Annapolis,MD,1,34000,38.98,-76.48,EST,246,4.9193,295.1588,Flight Required,766,15.32600,919.55988,Flight Required,2022-12-28,Wednesday,2:00 PM,ESPN,"2,160,000","17,974",1768667,25935,0.53,9,18,0,0,0,0,0,1,0,1314626,506.1328,607.3593,10.1227,246,520.33,0,2,2,2,0,26,6.118802548,0.122331648,1,"18,451.52","20,696.56","20,696.56",25935,60.87%,76.28%,"-5,238.44",-20.20%,"17,974",0.53,15.15%,"2,722.56",Medium,49.3,Partly cloudy,0,0
2023,Military Bowl,24,Virginia Tech Hokies,Atlantic Coast Conference,0,7,3,4,638.89,422900,38294,221140,Regional,156898.356,37.23,-80.42,Piedmont Triad International Airport,82.57942,165.9,High Remote,EST,Tulane Green Wave,American Conference,23,11,12,-1,537.70,159100,13078,83542,Very National (Top 10%),58914.88,29.94,-90.12,Louis Armstrong New Orleans International Airport,8.937618,24.3,Accessible,CST,Navy-Marine Corps Memorial Stadium,Annapolis,MD,1,34000,38.98,-76.48,EST,246,4.9221,295.3273,Flight Required,995,19.90173,1194.10353,Flight Required,2023-12-27,Wednesday,2:00 PM,ESPN,"2,260,000","35,849",1768667,25935,1.05,9,18,11.5,0,23,0,0,0,0,938054,620.5962,744.7154,12.4119,246,748.98,0,1,2,2,0,14.5,5.972228303,0.1547773766,0.4888888889,"35,448.83","32,594.68","32,594.68",25935,95.87%,76.28%,"6,659.68",25.68%,"35,849",1.05,-9.08%,"-3,254.32",Medium,53.7,Slight rain,46.1,0
2024,Military Bowl,20,East Carolina Pirates,American Conference,0,8,2,6,611.66,193000,26785,147064,Mostly In-State,78208.064,35.61,-77.37,Raleigh-Durham International Airport,81.77597,113.5,Moderate Remote,EST,NC State Wolfpack,Atlantic Coast Conference,0,6,9,-3,722.41,369900,37323,231036,Mostly In-State,141827.164,35.79,-78.67,Raleigh-Durham International Airport,9.024975,19.5,Accessible,EST,Navy-Marine Corps Memorial Stadium,Annapolis,MD,1,34000,38.98,-76.48,EST,238,4.7625,285.7499,Flight Required,251,5.02929,301.75734,Flight Required,2024-12-28,Saturday,5:45 PM,ESPN,"886,000","23,981",1768667,25935,0.71,7,14,0,0,0,0,0,0,1,1005108,244.7947,293.7536,4.8959,238,13.34,1,1,2,2,0,26,6.002213162,0.04825291729,1,"24,109.63","24,657.24","24,657.24",25935,72.52%,76.28%,"-1,277.76",-4.93%,"23,981",0.71,2.82%,676.24,Medium,50.8,Moderate drizzle,10.1,0
2025,Military Bowl,20,Pittsburgh Panthers,Atlantic Coast Conference,0,8,7,1,681.21,310000,34525,184319,Regional,118609.384,40.444388,-79.953254,Pittsburgh International Airport,15.07434,33.4,Accessible,EST,East Carolina Pirates,American Conference,0,8,8,0,611.55,193000,26785,147064,Mostly In-State,78208.02,35.607186,-77.368291,Raleigh-Durham International Airport,81.77597,113.5,Moderate Remote,EST,Navy-Marine Corps Memorial Stadium,Annapolis,MD,1,34000,38.980507,-76.481692,EST,210.4090185,4.2082,252.4908,Flight Required,238.1249412,4.76250,285.74993,Flight Required,2025-12-27,Saturday,11:00 AM,ESPN,2500000,17016,1768667,25935,,8,16,0,0,0,0,0,0,0,895693,224.2670,269.1204,4.4853,210.4090185,27.71592273,1,1,2,2,0,26,5.952159665,0.04243414399,1,26342.82923,26220.48046,26220.48046,25935,77.12%,76.28%,285.48046,1.10%,17016,0.50,54.09%,"9,204.48",Medium,38.5,Overcast,0,0
2022,Music City Bowl,27,Iowa Hawkeyes,Big Ten Conference,0,8,10,-2,681.98,583000,30042,169836,National,198164.792,41.66,-91.54,Quad City International Airport,55.18501,80.4,Moderate Remote,CST,Kentucky Wildcats,Southeastern Conference,0,7,10,-3,737.33,542700,32703,175722,Regional,187217.732,38.04,-84.50,Blue Grass Airport,5.541054,18.6,Accessible,EST,Nissan Stadium,Nashville,TN,2,68798,36.17,-86.83,CST,456,9.1239,547.4322,Flight Required,182,3.64053,218.43167,Flight Required,2022-12-31,Saturday,12:00 PM,ABC,"3,000,000","42,312",2816667,45258,0.62,7.5,15,0,0,0,1,0,0,0,1534003,319.1099,382.9319,6.3822,182,274.17,1,2,1,1,0,26,6.185826492,0.06931827067,1,"42,322.29","43,203.00","43,203.00",45258,62.80%,65.78%,"-2,055.00",-4.54%,"42,312",0.62,2.11%,891.00,Large,58.7,Overcast,3.7,0
2023,Music City Bowl,27,Maryland Terrapins,Big Ten Conference,0,8,8,0,685.75,243000,2844,319736,Regional,105716.7,38.99,-76.94,Ronald Reagan Washington National Airport,10.63017,30.1,Accessible,EST,Auburn Tigers,Southeastern Conference,0,6,5,1,770.94,888500,33015,192921,National,292753.476,32.60,-85.49,Hartsfield Jackson Atlanta International Airport,94.35258,122.2,High Remote,CST,Nissan Stadium,Nashville,TN,2,68798,36.17,-86.83,CST,575,11.4983,689.8989,Flight Required,258,5.16064,309.63863,Flight Required,2023-12-30,Saturday,2:00 PM,ABC,"2,630,000","50,088",2816667,45258,0.73,7,14,0,0,0,1,0,0,0,1680016,416.4740,499.7688,8.3295,258,316.88,1,2,1,1,0,26,6.225313676,0.09691702358,1,"50,279.82","48,773.27","48,773.27",45258,70.89%,65.78%,"3,515.27",7.77%,"50,088",0.73,-2.62%,"-1,314.73",Large,46.9,Overcast,0,0
2024,Music City Bowl,22,Missouri Tigers,Southeastern Conference,23,10,11,-1,807.36,399800,31013,196047,Regional,146070.244,38.95,-92.33,St. Louis Lambert International Airport,106.2839,139.3,High Remote,CST,Iowa Hawkeyes,Big Ten Conference,0,8,10,-2,723.51,583000,30042,169836,National,198181.404,41.66,-91.54,Quad City International Airport,55.18501,80.4,Moderate Remote,CST,Nissan Stadium,Nashville,TN,2,68798,36.17,-86.83,CST,357,7.1438,428.6269,Flight Required,456,9.12387,547.43218,Flight Required,2024-12-30,Monday,2:30 PM,ESPN,"2,820,000","43,375",2816667,45258,0.63,9,18,11.5,0,23,0,1,0,0,1409738,406.6913,488.0295,8.1338,357,99.00,0,2,1,1,0,14.5,6.149138715,0.09414402711,0.4888888889,"43,397.90","43,955.93","43,955.93",45258,63.89%,65.78%,"-1,302.07",-2.88%,"43,375",0.63,1.34%,580.93,Large,59.3,Clear sky,0,0
2025,Music City Bowl,23,Tennessee Volunteers,Southeastern Conference,0,8,10,-2,866.57,1664400,36304,187046,Mostly In-State,525632.028,35.952082,-83.925852,McGhee Tyson Airport,10.45951,32.5,Accessible,EST,Illinois Fighting Illini,Big Ten Conference,0,8,10,-2,662.13,312600,56563,390561,Regional,144413.552,40.104718,-88.229114,Abraham Lincoln Capital Airport,78.80527,109.3,Moderate Remote,CST,Nissan Stadium,Nashville,TN,2,68798,36.166321,-86.828275,CST,162.7950124,3.2559,195.3540,Flight Required,282.5712938,5.65143,339.08555,Flight Required,2025-12-30,Tuesday,5:30 PM,ESPN,5400000,52815,2816667,45258,,8,16,0,0,0,0,1,0,0,2647474,222.6832,267.2198,4.4537,162.7950124,119.7762814,0,2,1,1,0,26,6.422831868,0.04198519342,1,44722.85203,44883.39642,47127.56624,45258,68.50%,65.78%,1869.566241,4.13%,52815,0.77,-10.77%,"-5,687.43",Large,32.6,Overcast,0,0
2022,Myrtle Beach Bowl,15,Marshall Thundering Herd,Sun Belt Conference,0,9,7,2,455.3,152200,11027,58960,National,53943.52,38.42,-82.43,Rickenbacker International Airport,99.81187,166.2,High Remote,EST,UConn Huskies,Independent,0,6,1,5,239.17,142300,27364,171835,Regional,65441.968,41.81,-72.25,Bradley International Airport,24.24718,51.5,Accessible,EST,Brooks Stadium,Conway,SC,1,21000,33.79,-79.01,EST,372,7.4451,446.7058,Flight Required,665,13.30034,798.02063,Flight Required,2022-12-19,Monday,2:30 PM,ESPN,"921,000","12,023",962667,9415,0.57,7.5,15,0,0,0,0,0,0,0,563686,518.6360,622.3632,10.3727,372,292.76,0,0,3,2,0,26,5.751038019,0.1258758156,1,"11,920.73","11,169.01","11,169.01",9415,53.19%,44.83%,"1,754.01",18.63%,"12,023",0.57,-7.10%,-853.99,Small,48.3,Partly cloudy,0,0
2023,Myrtle Beach Bowl,13,Ohio Bobcats,Mid-American Conference,0,10,10,0,342.6,123200,24937,189185,Regional,61002.94,39.33,-82.10,Rickenbacker International Airport,55.41088,92.6,Moderate Remote,EST,Georgia Southern Eagles,Sun Belt Conference,0,6,6,0,416.69,137100,26041,113407,Mostly In-State,57845.576,32.43,-81.78,Savannah Hilton Head International Airport,39.89781,71,Accessible,EST,Brooks Stadium,Conway,SC,1,21000,33.79,-79.01,EST,419,8.3770,502.6217,Flight Required,186,3.72487,223.49234,Flight Required,2023-12-16,Saturday,11:00 AM,ESPN,"1,200,000","8,059",962667,9415,0.38,8,16,0,0,0,0,0,0,0,613870,302.5475,363.0570,6.0510,186,232.61,1,0,3,2,0,26,5.788077117,0.06462349391,1,"8,269.71","8,613.30","8,613.30",9415,41.02%,44.83%,-801.70,-8.52%,"8,059",0.38,6.88%,554.30,Small,57.1,Overcast,0,0
2024,Myrtle Beach Bowl,15,UTSA Roadrunners,American Conference,0,7,9,-2,644.36,148700,24351,159591,Highly Local,65697.044,31.77,-106.50,El Paso International Airport,8.007039,26.1,Accessible,CST,Coastal Carolina Chanticleers,Sun Belt Conference,0,6,8,-2,557.61,196600,10829,48892,Regional,66258.044,33.79,-79.01,Myrtle Beach International Airport,9.305537,21.5,Accessible,EST,Brooks Stadium,Conway,SC,1,21000,33.79,-79.01,EST,1598,31.9697,1918.1803,Flight Required,0,0.00000,0.00000,Easy Drive,2024-12-23,Monday,11:00 AM,ESPN,"767,000","8,164",962667,9415,0.39,6.5,13,0,0,0,0,0,0,0,588963,799.2418,959.0902,15.9848,0,1598.48,0,0,3,2,1,26,5.77008875,0.2054161569,1,"8,355.63","8,673.44","8,673.44",9415,41.30%,44.83%,-741.56,-7.88%,"8,164",0.39,6.24%,509.44,Small,40.4,Clear sky,0,0
2025,Myrtle Beach Bowl,12,Kennesaw State Owls,Conference USA,0,10,2,8,338.87,88400,45069,143958,Highly Local,50065.148,34.038807,-84.583052,Hartsfield Jackson Atlanta International Airport,29.18321,47.4,Accessible,EST,Western Michigan Broncos,Mid-American Conference,0,9,6,3,534.35,141800,16693,147870,Mostly In-State,60879.34,42.282194,-85.613759,Gerald R. Ford International Airport,41.63248,64.8,Accessible,EST,Brooks Stadium,Conway,SC,1,21000,33.794995,-79.011767,EST,319.8643023,6.3973,383.8372,Flight Required,687.2263319,13.74453,824.67160,Flight Required,2025-12-19,Friday,11:00 AM,ESPN,808500,9139,962667,9415,,9.5,19,0,0,0,0,0,0,0,583790,503.5453,604.2544,10.0709,319.8643023,367.3620297,0,0,3,2,0,26,5.766257395,0.1215982114,1,9096.935237,9192.354666,9192.354666,9415,43.77%,44.83%,-222.645334,-2.36%,9139,0.44,0.58%,53.35,Small,64.1,Clear sky,0.4,0
2022,New Mexico Bowl,13,BYU Cougars,Big 12 Conference,0,8,10,-2,415.19,379700,35074,236737,Regional,144764.576,40.25,-111.65,Salt Lake City International Airport,41.02801,63.4,Accessible,MST,SMU Mustangs,Atlantic Coast Conference,0,7,8,-1,598.49,200600,11842,102694,Regional,73057.196,32.84,-96.78,Dallas Love Field,3.756131,15.2,Accessible,CST,University Stadium,Albuquerque,NM,1,39224,35.08,-106.62,MST,451,9.0105,540.6273,Flight Required,584,11.68624,701.17432,Flight Required,2022-12-17,Saturday,7:30 PM,ABC,"2,040,000","22,209",1368333,25268,0.57,7.5,15,0,0,0,0,0,0,1,966647,517.4174,620.9008,10.3483,451,133.79,1,2,3,2,0,26,5.985268357,0.1255303717,1,"22,166.51","23,096.95","23,096.95",25268,58.88%,64.42%,"-2,171.05",-8.59%,"22,209",0.57,4.00%,887.95,Medium,30.3,Overcast,0,0
2023,New Mexico Bowl,13,Fresno State Bulldogs,Mountain West Conference,0,9,10,-1,555.3,198300,23986,110359,Highly Local,75545.22,36.81,-119.74,Fresno Yosemite International Airport,2.856031,9.4,Accessible,PST,New Mexico State Aggies,Conference USA,0,10,7,3,378.99,71800,6849,82618,National,31323.196,32.28,-106.75,El Paso International Airport,39.35543,69.6,Accessible,MST,University Stadium,Albuquerque,NM,1,39224,35.08,-106.62,MST,743,14.8635,891.8125,Flight Required,194,3.87561,232.53670,Flight Required,2023-12-16,Saturday,5:45 PM,ESPN,"845,000","30,822",1368333,25268,0.79,9.5,19,0,0,0,0,0,0,0,493912,468.4788,562.1746,9.3696,194,549.40,1,0,3,2,0,26,5.693650457,0.1116582857,1,"30,553.33","28,967.73","28,967.73",25268,73.85%,64.42%,"3,699.73",14.64%,"30,822",0.79,-6.02%,"-1,854.27",Medium,43.9,Overcast,0,0
2024,New Mexico Bowl,17,TCU Horned Frogs,Big 12 Conference,0,9,5,4,766.5,293300,12785,78653,Mostly In-State,98718.9,32.71,-97.36,Dallas Fort Worth International Airport,22.96139,40.6,Accessible,CST,Louisiana Ragin' Cajuns,Sun Belt Conference,0,10,6,4,553.39,111900,15345,80684,Mostly In-State,44928.756,30.21,-92.02,Alexandria International Airport,83.06783,107.6,Moderate Remote,CST,University Stadium,Albuquerque,NM,1,39224,35.08,-106.62,MST,555,11.1070,666.4199,Flight Required,913,18.25085,1095.05085,Flight Required,2024-12-25,Wednesday,2:15 PM,ESPN,"1,220,000","22,827",1368333,25268,0.58,9.5,19,0,0,0,0,0,0,0,592667,733.9461,880.7354,14.6789,555,357.19,0,1,3,2,0,26,5.772811479,0.1869074877,1,"22,569.65","23,379.16","23,379.16",25268,59.60%,64.42%,"-1,888.84",-7.48%,"22,827",0.58,2.42%,552.16,Medium,50.4,Light drizzle,0.1,0
2025,New Mexico Bowl,20,North Texas Mean Green,American Conference,23,11,6,5,569.15,120800,47507,242572,Highly Local,70226.26,33.211178,-97.148422,Dallas Fort Worth International Airport,22.62448,37,Accessible,CST,San Diego State Aztecs,Mountain West Conference,0,9,3,6,594.27,135000,39241,270577,Mostly In-State,75643.608,32.77525,-117.071228,San Diego International Airport,7.483084,21.8,Accessible,PST,University Stadium,Albuquerque,NM,1,39224,35.083868,-106.620155,MST,556.6363871,11.1327,667.9637,Flight Required,619.7083987,12.39417,743.65008,Flight Required,2025-12-27,Saturday,5:45 PM,ESPN,1400000,18867,1368333,25268,,10,20,11.5,0,23,0,0,0,0,855697,588.1724,705.8069,11.7634,556.6363871,63.07201159,1,0,3,2,0,14.5,5.932320517,0.1455865508,0.4888888889,24523.00775,24746.50543,24746.50543,25268,63.09%,64.42%,-521.49457,-2.06%,18867,0.48,31.16%,"5,879.51",Medium,49,Mainly clear,3.1,0
